json,text,label,Prompt
"{'departure_city': 'Оконешниково', 'arrival_city': 'Каменка-Днепровская', 'departure_date': '07-01-2024', 'return_date': '03-02-2024'}"," Я хочу купить билет в Оконешниково - Каменка-Днепровская, дата отправления - 07-01-2024, дата возвращения - 03-02-2024.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Оконешниково - Каменка-Днепровская, дата отправления - 07-01-2024, дата возвращения - 03-02-2024.
Ответ: {'departure_city': 'Оконешниково', 'arrival_city': 'Каменка-Днепровская', 'departure_date': '07-01-2024', 'return_date': '03-02-2024'}"
"{'departure_city': 'Касстаун', 'arrival_city': 'Опава', 'departure_date': '10-08-2023', 'return_date': '25-08-2023'}"," ""Я хочу купить билет в Касстаун - Опаву с 10 по 25 августа 2023 года.""",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  ""Я хочу купить билет в Касстаун - Опаву с 10 по 25 августа 2023 года.""
Ответ: {'departure_city': 'Касстаун', 'arrival_city': 'Опава', 'departure_date': '10-08-2023', 'return_date': '25-08-2023'}"
"{'departure_city': 'Сен-Дени', 'arrival_city': 'Маналапан', 'departure_date': '30-01-2024', 'return_date': '31-01-2024'}"," ""Я хочу купить билет в Сен-Дени - Маналапан, 30-01-2024 - 31-01-2024""",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  ""Я хочу купить билет в Сен-Дени - Маналапан, 30-01-2024 - 31-01-2024""
Ответ: {'departure_city': 'Сен-Дени', 'arrival_city': 'Маналапан', 'departure_date': '30-01-2024', 'return_date': '31-01-2024'}"
"{'departure_city': 'Торреон', 'arrival_city': 'Ольшанка', 'departure_date': '', 'return_date': '27-09-2024'}"," Я хочу купить билет в Торреоне и лететь в Ольшанку 27-09-2024. Пожалуйста, предложите мне лучшие варианты.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Торреоне и лететь в Ольшанку 27-09-2024. Пожалуйста, предложите мне лучшие варианты.
Ответ: {'departure_city': 'Торреон', 'arrival_city': 'Ольшанка', 'departure_date': '', 'return_date': '27-09-2024'}"
"{'departure_city': 'Шарлык', 'arrival_city': 'Швейнфурт', 'departure_date': '', 'return_date': '04-05-2023'}", Я хочу купить билет в Шарлык - Швейнфурт 04-05-2023.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Шарлык - Швейнфурт 04-05-2023.
Ответ: {'departure_city': 'Шарлык', 'arrival_city': 'Швейнфурт', 'departure_date': '', 'return_date': '04-05-2023'}"
"{'departure_city': 'Дальтон', 'arrival_city': 'Тырговиште', 'departure_date': '10-03-2023', 'return_date': ''}"," Я хочу купить билет в авиакомпанию на рейс из Дальтона в Тырговиште, дата отправления - 10-03-2023. Пожалуйста, помогите мне с этим.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в авиакомпанию на рейс из Дальтона в Тырговиште, дата отправления - 10-03-2023. Пожалуйста, помогите мне с этим.
Ответ: {'departure_city': 'Дальтон', 'arrival_city': 'Тырговиште', 'departure_date': '10-03-2023', 'return_date': ''}"
"{'departure_city': 'Прейри-Виллидж', 'arrival_city': 'Бочния', 'departure_date': '07-05-2023', 'return_date': '20-05-2023'}"," Я хочу купить билет в Прейри-Виллидж - Бочния, дата отправления 07-05-2023, возвращения 20-05-2023.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Прейри-Виллидж - Бочния, дата отправления 07-05-2023, возвращения 20-05-2023.
Ответ: {'departure_city': 'Прейри-Виллидж', 'arrival_city': 'Бочния', 'departure_date': '07-05-2023', 'return_date': '20-05-2023'}"
"{'departure_city': 'Вест-Винтер-Хавен', 'arrival_city': 'Куинбаг', 'departure_date': '', 'return_date': ''}", Я хочу купить билет в Вест-Винтер-Хавен - Куинбаг. Может ли ты помочь мне с этим?,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Вест-Винтер-Хавен - Куинбаг. Может ли ты помочь мне с этим?
Ответ: {'departure_city': 'Вест-Винтер-Хавен', 'arrival_city': 'Куинбаг', 'departure_date': '', 'return_date': ''}"
"{'departure_city': 'Шумилино', 'arrival_city': 'Базарный Карабулак', 'departure_date': '27-05-2023', 'return_date': '07-06-2023'}", Я хочу купить билет в Шумилино - Базарный Карабулак с датой отправления 27-05-2023 и возвращения 07-06-2023.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Шумилино - Базарный Карабулак с датой отправления 27-05-2023 и возвращения 07-06-2023.
Ответ: {'departure_city': 'Шумилино', 'arrival_city': 'Базарный Карабулак', 'departure_date': '27-05-2023', 'return_date': '07-06-2023'}"
"{'departure_city': 'Мэдисон', 'arrival_city': 'Равич', 'departure_date': '16-11-2023', 'return_date': ''}", Я живу в Мэдисоне и хочу купить билет в Равич 16-11-2023. Можете мне помочь с поиском подходящих рейсов?,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я живу в Мэдисоне и хочу купить билет в Равич 16-11-2023. Можете мне помочь с поиском подходящих рейсов?
Ответ: {'departure_city': 'Мэдисон', 'arrival_city': 'Равич', 'departure_date': '16-11-2023', 'return_date': ''}"
"{'departure_city': 'Брин-Мавр', 'arrival_city': 'Решетиловка', 'departure_date': '03-10-2023', 'return_date': '10-10-2023'}"," Я живу в Брин-Мавре и хочу купить билеты в Решетиловку. Режим поездки: 03-10-2023 (отправление) и 10-10-2023 (возвращение). Пожалуйста, сообщите мне доступные рейсы и цены.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я живу в Брин-Мавре и хочу купить билеты в Решетиловку. Режим поездки: 03-10-2023 (отправление) и 10-10-2023 (возвращение). Пожалуйста, сообщите мне доступные рейсы и цены.
Ответ: {'departure_city': 'Брин-Мавр', 'arrival_city': 'Решетиловка', 'departure_date': '03-10-2023', 'return_date': '10-10-2023'}"
"{'departure_city': 'Чайковский', 'arrival_city': 'Ош', 'departure_date': '22-12-2023', 'return_date': '31-12-2023'}", Я хочу купить билет в самолет из Чайковского в Ош с датой отправления 22-12-2023 и датой возвращения 31-12-2023.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в самолет из Чайковского в Ош с датой отправления 22-12-2023 и датой возвращения 31-12-2023.
Ответ: {'departure_city': 'Чайковский', 'arrival_city': 'Ош', 'departure_date': '22-12-2023', 'return_date': '31-12-2023'}"
"{'departure_city': 'Зырянское', 'arrival_city': 'Атотонилко', 'departure_date': '25-07-2024', 'return_date': ''}", Я живу в Зырянском и хочу купить билет в Атотонилко 25-07-2024. Может ли Someone помочь мне с этим?,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я живу в Зырянском и хочу купить билет в Атотонилко 25-07-2024. Может ли Someone помочь мне с этим?
Ответ: {'departure_city': 'Зырянское', 'arrival_city': 'Атотонилко', 'departure_date': '25-07-2024', 'return_date': ''}"
"{'departure_city': 'Замосць', 'arrival_city': 'Каннон-Фоллс', 'departure_date': '29-11-2023', 'return_date': '09-12-2023'}", Я хочу купить билет в воздушном судне из Замосця в Каннон-Фоллс с датой отправления 29-11-2023 и возвращения 09-12-2023.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в воздушном судне из Замосця в Каннон-Фоллс с датой отправления 29-11-2023 и возвращения 09-12-2023.
Ответ: {'departure_city': 'Замосць', 'arrival_city': 'Каннон-Фоллс', 'departure_date': '29-11-2023', 'return_date': '09-12-2023'}"
"{'departure_city': 'Кага', 'arrival_city': 'Коттон-Вэлли', 'departure_date': '', 'return_date': '04-03-2024'}", Я хочу купить билет в Кагу - Коттон-Вэлли. Возвращаюсь 4 марта 2024 года.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Кагу - Коттон-Вэлли. Возвращаюсь 4 марта 2024 года.
Ответ: {'departure_city': 'Кага', 'arrival_city': 'Коттон-Вэлли', 'departure_date': '', 'return_date': '04-03-2024'}"
"{'departure_city': 'Заиграево', 'arrival_city': 'Актас', 'departure_date': '18-06-2023', 'return_date': '14-07-2023'}", Я хочу купить билет в авиакомпанию на рейс из Заиграево в Актас с датой отправления 18-06-2023 и возвращения 14-07-2023.,самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в авиакомпанию на рейс из Заиграево в Актас с датой отправления 18-06-2023 и возвращения 14-07-2023.
Ответ: {'departure_city': 'Заиграево', 'arrival_city': 'Актас', 'departure_date': '18-06-2023', 'return_date': '14-07-2023'}"
"{'departure_city': 'Белые Столбы', 'arrival_city': 'Россвилл', 'departure_date': '18-05-2023', 'return_date': '26-05-2023'}"," Я хочу купить билет в Белые Столбы - Россвилл, дата отправления - 18-05-2023, дата возвращения - 26-05-2023.",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  Я хочу купить билет в Белые Столбы - Россвилл, дата отправления - 18-05-2023, дата возвращения - 26-05-2023.
Ответ: {'departure_city': 'Белые Столбы', 'arrival_city': 'Россвилл', 'departure_date': '18-05-2023', 'return_date': '26-05-2023'}"
"{'departure_city': 'Советское', 'arrival_city': 'Варгина', 'departure_date': '08-10-2024', 'return_date': '24-10-2024'}"," ""Здравствуйте, я хочу купить билет в одну сторону из Советского в Варгину с датой отправления 08-10-2024 и возвращения 24-10-2024.""",самолет,"Ты должен найти в тексте определенные атрибуты и сохранить их в формате JSON. Не используй комментарии.

Используй следующий шаблон:

Текст: сообщение пользователя в чате.
JSON: объект по всем стандартам JSON.
    - departure_city
        Описание: город отправления на самолете.
        Тип данных: str
    - arrival_city
        Описание: город прибытия на самолете.
        Тип данных: str
    - departure_date
        Описание: дата отправления из города отправления.
        Тип данных: date в формате day-month-year 
    - return_date
        Описание: дата возвращения из города прибытия.
        Тип данных:  date в формате day-month-year

Начинай!

Текст:  ""Здравствуйте, я хочу купить билет в одну сторону из Советского в Варгину с датой отправления 08-10-2024 и возвращения 24-10-2024.""
Ответ: {'departure_city': 'Советское', 'arrival_city': 'Варгина', 'departure_date': '08-10-2024', 'return_date': '24-10-2024'}"
